CodeINSEE;PopulationDGF2013;PopulationDGF2014;In‚ligibilit‚2015;PopulationDGF2015;CommunesUrbaines;PF2014;PF2015;Eligibilit‚(PF<993?);In‚ligibilit‚2016;EPCI-FP;Eau Potable;"Assainissement Collectif";"Assainissement Non Collectif";Milieux Aquatiques;"S (km2)";"Zone Rouge";Décompte
55001;322;316;;317;;580;594;VRAI;;Val d''Ornois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois;13.7;;1
55002;103;110;;115;;601;585;VRAI;;Etain;;;CC Pays d''Etain;CC Etain;9.7;;1
55004;95;98;;98;;624;627;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;9.1;;1
55005;47;48;X;48;;2787;2835;FAUX;x;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;11.2;;1
55007;261;252;;252;;495;496;VRAI;;Val de Meuse et Vallée de la Dieue;;SIA de la Dieue;SIA de la Dieue;CC Val de Meuse et Vallée de la Dieue;6.3;;1
55008;189;193;;194;;489;489;VRAI;;Spincourt;SIE PIENNES (54);;SIE PIENNES (54);;14.7;;1
55009;618;626;;621;;390;404;VRAI;;Meuse - Voie Sacrée;;SIA de la Dieue;SIA de la Dieue;CC Meuse - Voie Sacrée;13.3;;1
55010;2858;2843;X;2819;OUI;797;787;VRAI;x;Saulx et Perthois;;;;CC Saulx et Perthois;21.6;;1
55011;251;251;;252;;525;526;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;4.3;;1
55012;455;451;;446;;447;453;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;32.9;;1
55013;487;498;;493;;443;443;VRAI;;Spincourt;SIE PIERREPONT;;SM Mangiennes;;20.2;;1
55014;436;436;;426;;527;547;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;29.0;;1
55015;510;526;;533;;419;419;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;;SIVOM 4 CANTONS;CC Saulx et Perthois;10.8;;1
55017;149;134;;127;;501;534;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;10.9;;1
55018;56;55;;52;;542;562;VRAI;;Pays de Stenay;SIE Moulins-Autreville;;CC Pays de Stenay;CC Pays de Stenay;4.0;;1
55021;71;73;;73;;449;452;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55022;150;153;;153;;427;422;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;CC Pays de Montmedy;6.5;;1
55023;137;137;;137;;424;419;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;SM3A;14.7;;1
55024;166;165;;169;;566;554;VRAI;;Damvillers;;;SM Mangiennes;CC Région de Damvillers;18.1;;1
55025;272;285;;299;;436;422;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;14.8;;1
55026;155;158;;156;;378;376;VRAI;;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;21.0;;1
55027;182;357;;174;;357;356;VRAI;;Saint-Mihiel;SIE Maizey;;CC Sammiellois;CC Sammiellois;8.7;;1
55028;138;139;;141;;584;572;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;14.3;;1
55029;16980;16955;X;16769;OUI;821;816;VRAI;x;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;23.6;;1
55030;84;81;X;79;;2129;2273;FAUX;x;Val d''Ornois;SM Baudignecourt-Demange;SM Baudignecourt-Demange;CC Val d''Ornois;CC Val d''Ornois;6.3;;1
55031;433;430;;422;;512;514;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;3.1;;1
55032;64;63;;57;;417;450;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;6.8;;1
55033;15;16;;16;;901;875;VRAI;;Montfaucon-Varennes;SIE Côte Badard;;CC Montfaucon-Varennes;SM3A;3.9;;1
55034;122;127;;133;;375;366;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;CC Pays de Montmedy;7.7;;1
55035;174;171;;166;;482;504;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;10.3;;1
55036;88;91;;93;;711;716;VRAI;;Pays de Stenay;SIE Beauclair;;CC Pays de Stenay;CC Pays de Stenay;4.8;;1
55037;167;163;;163;;617;609;VRAI;;Pays de Stenay;SIE Beauclair;;CC Pays de Stenay;CC Pays de Stenay;11.1;;1
55038;66;67;X;67;;1062;1040;FAUX;x;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;29.6;;1
55039;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;7.9;ZR;1
55040;306;302;;290;;904;956;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;25.4;;1
55041;706;698;;685;;656;659;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;9.2;;1
55042;441;453;;468;;506;518;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;5.1;;1
55043;3287;3301;X;3288;OUI;653;650;VRAI;x;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;10.2;;1
55044;54;51;;49;;536;561;VRAI;;CC Aire et Meuse;SM Germain Guérard;CC Aire et Meuse;CC Aire et Meuse;SM3A;8.3;;1
55045;491;519;;549;;516;519;VRAI;;Val de Meuse et Vallée de la Dieue;;CA Verdun;CA Verdun;CC Val de Meuse et Vallée de la Dieue;9.4;;1
55046;160;158;;158;;459;436;VRAI;;Côtes de Meuse Woëvre;SIE Trey-Saint-Jean (54);;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;17.2;;1
55047;203;203;;195;;419;429;VRAI;;CA Verdun;SIE Sivry-la-Perche;CA Verdun;CA Verdun;CA Verdun;11.9;;1
55048;33;35;;36;;855;822;VRAI;;CA Verdun;SIE VAL DUNOIS;CA Verdun;CA Verdun;CA Verdun;13.3;;1
55049;447;448;;447;;665;656;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;11.6;;1
55050;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;9.2;ZR;1
55051;139;128;X;122;;1248;1506;FAUX;x;Haute-Saulx;SIE Vallée de l''Orge;SIE Vallée de l''Orge;SIE Vallée de l''Orge;CC Haute-Saulx;12.4;;1
55053;419;408;;403;;407;406;VRAI;;Spincourt;SM Mangiennes;SM Mangiennes;SM Mangiennes;;24.7;;1
55054;68;69;;70;;557;541;VRAI;;Saint-Mihiel;SIE Han/Brasseitte;;CC Sammiellois;CC Sammiellois;5.0;;1
55055;21;21;;20;;860;935;VRAI;;Etain;SIE Chatillon-Blanzée;;CC Pays d''Etain;CC Etain;3.4;;1
55057;73;77;;78;;519;519;VRAI;;Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Etain;5.7;;1
55058;330;319;;328;;436;429;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;10.8;;1
55059;237;229;X;221;;1846;1884;FAUX;x;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;29.1;;1
55060;397;396;;393;;381;400;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;21.1;;1
55061;248;257;;260;;99;95;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;5.4;;1
55062;110;111;;115;;473;461;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;7.0;;1
55063;2776;2792;;2759;;578;610;VRAI;;Landres;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;11.0;;1
55064;125;133;;138;;446;429;VRAI;;CC Aire et Meuse;SIE LAFFON DE LADEBAT;CC Aire et Meuse;CC Aire et Meuse;CC Aire et Meuse;7.5;;1
55065;138;142;;138;;620;641;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;SM3A;21.3;;1
55066;151;149;;154;;789;779;VRAI;;Void;;;SIVOM Source Godion;CC Void;13.4;;1
55067;116;119;;113;;386;393;VRAI;;Void;;;SIVOM Source Godion;CC Void;8.1;;1
55068;110;109;;110;;484;468;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;11.5;;1
55069;248;243;;237;;584;601;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;11.1;;1
55070;141;138;;135;;339;354;VRAI;;Montfaucon-Varennes;SIE VAL DUNOIS;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;6.9;;1
