Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55001;316;317;;319;;594;616;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;13.7;;1
55002;110;115;;120;;585;573;VRAI;;CC Pays d''Etain;;;CC Pays d''Etain;CC Pays d''Etain;9.7;;1
55004;98;98;;93;;627;661;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;9.1;;1
55005;48;48;x;47;;2 835;2832;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;11.2;;1
55007;252;252;;256;;496;501;VRAI;;Val de Meuse Voie Sacrée;;SIA de la Dieue;SIA de la Dieue;Val de Meuse Voie Sacrée;6.3;;1
55008;193;194;;191;;489;540;VRAI;;Damvillers-Spincourt;SIE PIENNES (54);;SIE PIENNES (54);CC Damvillers-Spincourt;14.7;;1
55009;626;621;;616;;404;406;VRAI;;Val de Meuse Voie Sacrée;;SIA de la Dieue;SIA de la Dieue;Val de Meuse Voie Sacrée;13.3;;1
55010;2 843;2 819;x;2812;OUI;787;793;VRAI;x;CC Val d''Ornois Haute Saulx et Perthois;;;;CC Val d''Ornois Haute Saulx et Perthois;21.6;;1
55011;251;252;;253;;526;548;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;4.3;;1
55012;451;446;;439;;453;457;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;32.9;;1
55013;498;493;;500;;443;439;VRAI;;Damvillers-Spincourt;SIE PIERREPONT;;SM Mangiennes;CC Damvillers-Spincourt;20.2;;1
55014;436;426;;420;;547;559;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;29;;1
55015;526;533;;545;;419;418;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;10.8;;1
55017;134;127;;123;;534;552;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;10.9;;1
55018;55;52;;52;;562;579;VRAI;;CC Stenay - Val Dunois;SIE Moulins-Autreville;;CC Pays de Stenay;CC Stenay - Val Dunois;4;;1
55021;73;73;;75;;452;448;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55022;153;153;;153;;422;425;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;6.5;;1
55023;137;137;;134;;419;452;VRAI;;Argonne Meuse;;;CC Argonne Meuse;SM3A;14.7;;1
55024;165;169;;171;;554;560;VRAI;;Damvillers-Spincourt;;;SM Mangiennes;CC Damvillers-Spincourt;18.1;;1
55025;285;299;;311;;422;415;VRAI;;CC Stenay - Val Dunois;;;CC Pays de Stenay;CC Stenay - Val Dunois;14.8;;1
55026;158;156;;154;;376;393;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;21;;1
55027;357;174;;173;;356;356;VRAI;;CC Sammiellois;SIE Maizey;;CC Sammiellois;CC Sammiellois;8.7;;1
55028;139;141;;143;;572;592;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;14.3;;1
55029;16 955;16 769;x;16925;OUI;816;766;VRAI;x;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;23.6;;1
55030;81;79;x;74;;2 273;2199;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;SM Baudignecourt-Demange;SM Baudignecourt-Demange;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;6.3;;1
55031;430;422;;412;;514;526;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;3.1;;1
55032;63;57;;56;;450;441;VRAI;;CC Triaucourt - Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;SM3A;6.8;;1
55033;16;16;;15;;875;1019;FAUX;T;Argonne Meuse;SIE Côte Badard;;CC Argonne Meuse;SM3A;3.9;;1
55034;127;133;;135;;366;369;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;7.7;;1
55035;171;166;;161;;504;546;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;10.3;;1
55036;91;93;;96;;716;736;VRAI;;CC Stenay - Val Dunois;SIE Beauclair;;CC Pays de Stenay;CC Stenay - Val Dunois;4.8;;1
55037;163;163;;164;;609;600;VRAI;;CC Stenay - Val Dunois;SIE Beauclair;;CC Pays de Stenay;CC Stenay - Val Dunois;11.1;;1
55038;67;67;x;65;;1 040;1115;FAUX;x;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;29.6;;1
55039;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;7.9;ZR;1
55040;302;290;;284;;956;974;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;25.4;;1
55041;698;685;;680;;659;694;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;9.2;;1
55042;453;468;;473;;518;771;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;5.1;;1
55043;3 301;3 288;x;3263;OUI;650;1011;FAUX;x;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;10.2;;1
55044;51;49;;50;;561;529;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;CC Aire et Meuse;CC Aire et Meuse;SM3A;8.3;;1
55045;519;549;;558;;519;538;VRAI;;Val de Meuse Voie Sacrée;;CA Verdun;CA Verdun;Val de Meuse Voie Sacrée;9.4;;1
55046;158;158;;157;;436;451;VRAI;;Côtes de Meuse Woëvre;SIE Trey-Saint-Jean (54);;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;17.2;;1
55047;203;195;;190;;429;656;VRAI;;CA Verdun;SIE Sivry-la-Perche;CA Verdun;CA Verdun;CA Verdun;11.9;;1
