CODE_OUVR;DATE_MESURE;CODE_PARAM;CONCENTRATION;RENDEMENT;CONFORM;FLUX_ENTREE;FLUX_SORTIE;DEBIT_ENTREE;DEBIT_SORTIE
25515801974;07/02/17;75;3;90.42341825;105;22.649;2.169;781;723
25515801974;07/02/17;74;15;84.90647442;105;71.852;10.845;781;723
25515801974;07/02/17;79;1;92.2207039;107;9.2939;0.723;781;723
25515801974;07/02/17;77;0.5;0;106;0;0.3615;781;723
25515801974;07/02/17;76;4.72;0;107;0;3.41256;781;723
25515801974;07/02/17;78;1.4;7.42637644;107;1.0934;1.0122;781;723
25515801974;07/02/17;80;5.74;55.3468404;107;9.2939;4.15002;781;723
35513201000;10/02/16;71;4;87.31860437;105;41.415;5.252;1255;1313
25501302497;09/11/15;71;26;94.69387755;105;22.54;1.196;46;46
25501302497;09/11/15;75;23;93.03030303;105;15.18;1.058;46;46
25501302497;09/11/15;74;137;78.14992026;105;28.842;6.302;46;46
25501302497;09/11/15;79;26;75;107;4.784;1.196;46;46
25501302497;09/11/15;78;8.4;17.64705882;107;0.4692;0.3864;46;46
25501302497;09/11/15;80;26;75;107;4.784;1.196;46;46
25504602267;11/07/13;71;140;0;107;0.406;0.406;2.9;2.9
25504602267;11/07/13;75;97;51.5;107;0.58;0.2813;2.9;2.9
25504602267;11/07/13;74;445;35.03649635;107;1.9865;1.2905;2.9;2.9
25504602267;11/07/13;79;77;-14.92537313;107;0.1943;0.2233;2.9;2.9
25504602267;11/07/13;76;0.25;0;107;0;0.000725;2.9;2.9
25504602267;11/07/13;78;4.8;33.33333333;107;0.02088;0.01392;2.9;2.9
25504602267;11/07/13;80;77.255;-15.30597015;107;0.1943;0.2240395;2.9;2.9
25504602267;18/11/15;71;30;96.77419355;105;12.183;0.393;13.1;13.1
25504602267;18/11/15;75;14;98.15789474;105;9.956;0.1834;13.1;13.1
25504602267;18/11/15;74;65;96.36871508;105;23.449;0.8515;13.1;13.1
25504602267;18/11/15;79;7.6;91.47982063;107;1.16852;0.09956;13.1;13.1
25504602267;18/11/15;77;4.2;92.94117647;107;0.77945;0.05502;13.1;13.1
