CODE_STEP;CODE_PARAM;ANNEE_VALIDITE;R_ELIM_MIN;C_MAX_S
25555102562;74;2017;60;30
25555102562;71;2017;50;35
25555102562;79;2017;50;2
25555102562;77;2017;50;0.5
35524601000;75;2017;60;35
35524601000;74;2017;60;200
35524601000;71;2017;50;0
25501302497;71;2015;50;0
25501302497;71;2016;50;0
25501302497;75;2015;60;35
25501302497;75;2016;60;35
25501302497;74;2015;60;0
25501302497;74;2016;60;0
25504602267;71;2015;50;0
25504602267;71;2016;50;0
25504602267;75;2015;60;35
25504602267;75;2016;60;35
25504602267;74;2015;60;0
25504602267;74;2016;60;0
25504702517;71;2015;50;0
25504702517;71;2016;50;0
25504702517;75;2015;60;35
25504702517;75;2016;60;35
25504702517;74;2015;60;0
25504702517;74;2016;60;0
25505302537;71;2015;50;0
25505302537;71;2016;50;0
25505302537;75;2015;60;35
25505302537;75;2016;60;35
25505302537;74;2015;60;0
25505302537;74;2016;60;0
25505801221;71;2016;50;0
25505801221;75;2016;60;35
25505801221;74;2016;60;0
25506202274;71;2015;50;0
25506202274;71;2016;50;0
25506202274;75;2015;60;35
25506202274;75;2016;60;35
25506202274;74;2015;60;0
25506202274;74;2016;60;0
25506301978;71;2011;91;35
25506301978;71;2012;91;35
25506301978;71;2013;91;35
25506301978;71;2014;91;35
25506301978;71;2015;91;35
25506301978;71;2016;91;35
25506301978;75;2011;90;25
25506301978;75;2012;90;25
25506301978;75;2013;90;25
25506301978;75;2014;90;25
25506301978;75;2015;90;25
25506301978;75;2016;90;25
25506301978;74;2011;77;125
25506301978;74;2012;77;125
25506301978;74;2013;77;125
25506301978;74;2014;77;125
25506301978;74;2015;77;125
25506301978;74;2016;77;125
25506301978;77;2011;87;5
25506301978;77;2012;87;5
25506301978;77;2013;87;5
25506301978;77;2014;87;5
25506301978;77;2015;87;5
25506301978;77;2016;87;5
25506301978;78;2011;20;0
25506301978;78;2012;20;0
25506301978;78;2013;20;0
25506301978;78;2014;20;0
25506301978;78;2015;20;0
25506301978;78;2016;20;0
25507702472;71;2016;50;0
25507702472;75;2016;60;35
25507702472;74;2016;60;0
25509402264;71;2015;50;30
25509402264;71;2016;50;30
25509402264;75;2015;60;25
25509402264;75;2016;60;25
