Captage (BSS);Commune;Code insee commune;pourcentage de population de cette commune aliment‚e par ce captage (%)
00886X0010;CESSE;55095;0
00886X0011;STENAY;55502;0
00886X0014;INOR;55250;50
00886X0017;MARTINCOURT-SUR-MEUSE;55323;100
00886X0018;OLIZY-SUR-CHIERS;55391;25
00886X0019;OLIZY-SUR-CHIERS;55391;25
00886X0020;OLIZY-SUR-CHIERS;55391;25
00886X0021;OLIZY-SUR-CHIERS;55391;25
00886X0022;STENAY;55502;50
00886X0022;LANEUVILLE-SUR-MEUSE;55279;50
00886X0022;LUZY-SAINT-MARTIN;55310;50
00886X0022;MOUZAY;55364;50
00886X0023;INOR;55250;50
00886X0025;CESSE;55095;50
00886X0029;POUILLY-SUR-MEUSE;55408;100
00886X0033;MOULINS-SAINT-HUBERT;55362;50
00886X0033;AUTREVILLE-SAINT-LAMBERT;55018;50
00886X0034;MOULINS-SAINT-HUBERT;55362;50
00886X0034;AUTREVILLE-SAINT-LAMBERT;55018;50
00886X0049;NEPVANT;55377;50
00886X0050;NEPVANT;55377;50
00886X1001;SAINT-PIERREVILLERS;55464;100
00886X1001;ARRANCY-SUR-CRUSNE;55013;100
00886X1004;OLIZY-SUR-CHIERS;55391;0
00887X0010;LAMOUILLY;55275;100
00887X0029;BROUENNES;55083;100
00887X0032;CHAUVENCY-SAINT-HUBERT;55110;50
00887X0033;CHAUVENCY-SAINT-HUBERT;55110;50
00888X0003;THONNE-LE-THIL;55509;100
00888X0018;THONNELLE;55511;100
00888X0025;CHAUVENCY-LE-CHATEAU;55109;50
00888X0026;CHAUVENCY-LE-CHATEAU;55109;0
00888X0028;CHAUVENCY-LE-CHATEAU;55109;50
00888X0032;VIGNEUL-SOUS-MONTMEDY;55552;100
00888X0033;THONNE-LES-PRES;55510;50
00888X0034;THONNE-LES-PRES;55510;50
00888X0047;MONTMEDY;55351;20
00888X0047;VERNEUIL-GRAND;55546;100
00888X0052;MONTMEDY;55351;20
00888X0053;MONTMEDY;55351;20
00888X0056;MONTMEDY;55351;20
00888X0057;MONTMEDY;55351;0
00888X0060;MONTMEDY;55351;20
00891X0001;BREUX;55077;100
00895X0007;VILLECLOYE;55554;100
00895X0008;VERNEUIL-GRAND;55546;0
00895X0009;VERNEUIL-GRAND;55546;0
00895X0012;ECOUVIEZ;55169;100
00895X0013;VELOSNES;55544;100
00895X0015;VERNEUIL-PETIT;55547;100
00895X0019;THONNE-LA-LONG;55508;0
00895X0020;THONNE-LA-LONG;55508;0
00895X0024;THONNE-LA-LONG;55508;0
00895X0025;THONNE-LA-LONG;55508;0
01112X0010;BEAUCLAIR;55036;100
01112X0010;BEAUFORT-EN-ARGONNE;55037;100
01112X0010;SAULMORY-ET-VILLEFRANCHE;55471;100
01112X0010;WISEPPE;55582;100
01112X0010;HALLES-SOUS-LES-COTES;55225;100
01112X0016;MONTIGNY-DEVANT-SASSEY;55349;100
01112X0024;STENAY;55502;50
01112X0024;LANEUVILLE-SUR-MEUSE;55279;50
01112X0024;LUZY-SAINT-MARTIN;55310;50
01112X0024;MOUZAY;55364;50
01113X0004;BAALON;55025;100
01113X0028;QUINCY-LANDZECOURT;55410;100
01114X0014;REMOIVILLE;55425;100
01114X0017;LOUPPY-SUR-LOISON;55306;100
01114X0018;JUVIGNY-SUR-LOISON;55262;50
01114X0019;JUVIGNY-SUR-LOISON;55262;50
01114X0036;IRE-LE-SEC;55252;25
01114X0037;IRE-LE-SEC;55252;25
01114X0038;IRE-LE-SEC;55252;25
01114X0041;HAN-LES-JUVIGNY;55226;100
01114X0044;IRE-LE-SEC;55252;25
01115X0110;CUISY;55137;100
01115X0110;EPINONVILLE;55174;100
01115X0110;ROMAGNE-SOUS-MONTFAUCON;55438;100
01115X0110;CIERGES-SOUS-MONTFAUCON;55115;100
01115X0110;GESNES-EN-ARGONNE;55208;100
01116X0012;LINY-DEVANT-DUN;55292;100
01116X0028;BRIEULLES-SUR-MEUSE;55078;100
01116X0062;DOULCON;55165;100
01116X0086;DUN-SUR-MEUSE;55167;100
01116X0098;MONT-DEVANT-SASSEY;55345;100
01116X0098;SASSEY-SUR-MEUSE;55469;100
01116X0145;AINCREVILLE;55004;100
01116X0145;BANTHEVILLE;55028;100
01116X0145;CLERY-GRAND;55118;100
01116X0145;CLERY-PETIT;55119;100
01117X0011;LION-DEVANT-DUN;55293;50
01117X0011;MILLY-SUR-BRADON;55338;50
01117X0013;LION-DEVANT-DUN;55293;50
01117X0013;MILLY-SUR-BRADON;55338;50
01117X0026;MURVAUX;55365;100
01117X0047;BRANDEVILLE;55071;100
01117X0059;FONTAINES-SAINT-CLAIR;55192;100
01117X0095;VILOSNES-HARAUMONT;55571;100
01117X0112;MILLY-SUR-BRADON;55338;0
01118X0008;BREHEVILLE;55076;50
01118X0009;BREHEVILLE;55076;50
01118X0013;LISSEY;55297;100
01118X0014;ECUREY-EN-VERDUNOIS;55170;50
01118X0027;LISSEY;55297;0
01118X0060;ETRAYE;55183;100
01118X0096;ECUREY-EN-VERDUNOIS;55170;50
01121X0011;MARVILLE;55324;50
01121X0018;BAZEILLES-SUR-OTHAIN;55034;100
01121X0026;FLASSIGNY;55188;100
01121X0027;OTHE;#N/A;0
01121X0033;MARVILLE;55324;50
01122X0027;RUPT-SUR-OTHAIN;55450;100
01126X0012;BILLY-SOUS-MANGIENNES;55053;34
01126X0012;CHAUMONT-DEVANT-DAMVILLERS;55107;34
01126X0012;DELUT;55149;34
01126X0012;DOMBRAS;55156;34
01126X0012;DUZEY;55168;34
01126X0012;JAMETZ;55255;34
01126X0012;LOISON;55299;34
01126X0012;MANGIENNES;55316;34
01126X0012;MERLES-SUR-LOISON;55336;34
01126X0012;MOIREY-FLABAS-CREPION;55341;34
01126X0012;MUZERAY;55367;34
01126X0012;NOUILLONPONT;55387;34
01126X0012;PEUVILLERS;55403;34
01126X0012;PILLON;55405;34
01126X0012;REVILLE-AUX-BOIS;55428;34
01126X0012;ROMAGNE-SOUS-LES-COTES;55437;34
01126X0012;ROUVROIS-SUR-OTHAIN;55445;34
01126X0012;SAINT-LAURENT-SUR-OTHAIN;55461;34
01126X0012;SORBEY;55495;34
01126X0012;SPINCOURT;55500;34
01126X0012;VAUDONCOURT;55535;34
01126X0012;VILLERS-LES-MANGIENNES;55563;34
01126X0012;VITTARVILLE;55572;34
01344X0028;MONTBLAINVILLE;55343;0
01344X1002;BAULNY;55033;100
01344X1002;CHARPENTRY;55103;100
01344X1003;MONTBLAINVILLE;55343;100
01348X0003;NEUVILLY-EN-ARGONNE;55383;34
01348X0004;BOUREUILLES;55065;100
01348X0005;VARENNES-EN-ARGONNE;55527;50
01348X0006;VARENNES-EN-ARGONNE;55527;50
01348X0021;CLAON;55116;50
01348X0024;NEUVILLY-EN-ARGONNE;55383;33
01348X0025;LACHALADE;55266;100
01348X0027;NEUVILLY-EN-ARGONNE;55383;33
01348X0028;CLAON;55116;50
01351X0096;CHEPPY;55113;100
01351X0308;VERY;55549;100
01352X0203;CUNEL;55140;50
01352X0203;MONTFAUCON-D'ARGONNE;55346;50
01352X0203;NANTILLOIS;55375;50
01352X0203;SEPTSARGES;55484;50
01352X0238;CUNEL;55140;50
01352X0238;MONTFAUCON-D'ARGONNE;55346;50
01352X0238;NANTILLOIS;55375;50
01352X0238;SEPTSARGES;55484;50
01353X0037;CONSENVOYE;55124;100
01353X0078;BETHINCOURT;55048;100
01353X0160;DANNEVOUX;55146;100
01353X0160;SIVRY-SUR-MEUSE;55490;100
01353X0161;BRABANT-SUR-MEUSE;55070;100
01353X0161;FORGES-SUR-MEUSE;55193;100
01353X0161;GERCOURT-ET-DRILLANCOURT;55206;100
01353X0161;VILLERS-DEVANT-DUN;55561;100
01354X0052;DAMVILLERS;55145;100
01354X0052;WAVRILLE;55580;100
01354X0093;SAMOGNEUX;55468;0
01354X0153;CHAMPNEUVILLE;55099;100
01354X0153;REGNEVILLE-SUR-MEUSE;55422;100
01354X0153;SAMOGNEUX;55468;100
01355X0162;VAUQUOIS;55536;50
01355X0163;VAUQUOIS;55536;50
01355X0261;AUBREVILLE;55014;50
01355X264;AUBREVILLE;55014;50
01356X0055;MONTZEVILLE;55355;50
01356X0056;MONTZEVILLE;55355;50
01356X0088;ESNES-EN-ARGONNE;55180;100
01356X0094;MALANCOURT;55313;50
01356X0095;MALANCOURT;55313;50
01356X0098;AVOCOURT;55023;50
01356X0099;AVOCOURT;55023;50
01357X0003;BETHELAINVILLE;55047;100
01357X0003;FROMEREVILLE-LES-VALLONS;55200;100
01357X0003;NIXEVILLE-BLERCOURT;55385;100
01357X0003;SIVRY-LA-PERCHE;55489;100
01357X0003;SOUHESMES-RAMPONT;55497;100
01357X0080;CHATTANCOURT;55106;100
01358X0066;BELLEVILLE-SUR-MEUSE;55043;100
01358X0067;BRAS-SUR-MEUSE;55073;50
01358X0067;CHARNY-SUR-MEUSE;55102;50
01358X0067;MARRE;55321;50
01358X0067;VACHERAUVILLE;55523;50
01358X0067;THIERVILLE-SUR-MEUSE;55505;50
01358X0068;BRAS-SUR-MEUSE;55073;50
01358X0068;CHARNY-SUR-MEUSE;55102;50
01358X0068;MARRE;55321;50
01358X0068;VACHERAUVILLE;55523;50
01358X0068;THIERVILLE-SUR-MEUSE;55505;50
01358X0149;VERDUN;55545;0
01358X0168;VERDUN;55545;50
01358X0177;THIERVILLE-SUR-MEUSE;55505;0
01358X0201;VERDUN;55545;50
01361X0002;FOAMEIX-ORNEL;55191;100
