Commune avec assainissement collectif;Nom station de traitement;Code Sandre;Taille en EqH;CODGEO
Abainville;ABAINVILLE;35500101000;350;55001
Amanty;AMANTY;;58;55005
Sommedieue;ANCEMONT;25500901707;4000;55492
Dieue-sur-Meuse;ANCEMONT;25500901707;4000;55154
Ancemont;ANCEMONT;25500901707;4000;55009
Ancerville;ANCERVILLE;35501001000;3000;55010
Arrancy-sur-Crusne;ARRANCY SUR CRUSNES;25501302497;750;55013
Savonnières-en-Perthois;AULNOIS EN PERTHOIS;35501501000;500;55477
Juvigny-en-Perthois;AULNOIS EN PERTHOIS;35501501000;500;55261
Aulnois-en-Perthois;AULNOIS EN PERTHOIS;35501501000;500;55015
Aulnois-sous-Vertuzey;AULNOIS EN VERTUZEY;25518402081;300;55016
Savonnières-devant-Bar;BAR-LE-DUC;35518603000;35000;55476
Naives-Rosières;BAR-LE-DUC;35518603000;35000;55369
Longeville-en-Barrois;BAR-LE-DUC;35518603000;35000;55302
Fains-Vèel;BAR-LE-DUC;35518603000;35000;55186
Combles-en-Barrois;BAR-LE-DUC;35518603000;35000;55120
Behonne;BAR-LE-DUC;35518603000;35000;55041
Bar-le-Duc;BAR-LE-DUC;35518603000;35000;55029
Baudonvilliers;BAUDONVILLERS;35503101000;600;55031
Beney-en-Woèvre;BENEY-EN-WOEVRE;25504602267;150;55046
Bèthelainville;BETHELAINVILLE;;200;55047
Billy-sous-Mangiennes;BILLY-SOUS-MANGIENNES;25505302537;450;55053
Boncourt-sur-Meuse;BONCOURT;25505801221;550;55058
Bonzèe;BONZEE EN WOEVRE;25519800101;300;55060
Bouconville-sur-Madt;BOUCONVILLE-SUR-MADT;25506202274;150;55062
Bouligny;BOULIGNY;25506301978;620;55063
Breux;BREUX;;250;55077
Brillon-en-Barrois;BRILLON;35507901000;600;55079
Saint-Jean-lès-Buzy;BUZY;;1000;55458
Buzy-Darmont;BUZY;;1000;55094
Chauvency-Saint-Hubert;CHAUVENCY-LE-CHÂTEAU;25510902383;450;55110
Chauvency-le-ChÂteau;CHAUVENCY-LE-CHÂTEAU;25510902383;450;55109
Les Paroches;CHAUVONCOURT (Hammeau Mennonville);;50;55401
Chauvoncourt;CHAUVONCOURT (Hammeau Mennonville);;50;55111
Clermont-en-Argonne;CLERMONT;35511701000;1500;55117
Vignot;COMMERCY;25512200097;12500;55553
Commercy;COMMERCY;25512200097;12500;55122
Contrisson;CONTRISSON;35512501000;1000;55125
Andernay;CONTRISSON;35512501000;1000;55011
Cousances-les-Forges;COUSANCES;35513201000;3000;55132
Brauvilliers;COUSANCES;35513201000;3000;55075
Couvertpuis;COUVERTPUIS;;100;55133
Dainville-Berthelèville;DAINVILLE-BERTHELEVILLE;35514201000;200;55142
Damvillers;DAMVILLERS;25514502199;700;55145
Demange-aux-Eaux;DEMANGE-AUX-EAUX;30000155150;700;55150
Baudignècourt;DEMANGE-AUX-EAUX;30000155150;700;55030
ton;DOMMARY-BARONCOURT;25515801974;2800;55182
Dommary-Baroncourt;DOMMARY-BARONCOURT;25515801974;2800;55158
rize-Saint-Dizier;ERIZE-SAINT-DIZIER;35517801000;400;55178
tain;ETAIN;25518100099;5000;55181
Euville;EUVILLE;25518400101;1500;55184
Fresnes-en-Woèvre;FRESNES-EN-WOEVRE;25519802174;1100;55198
Gèry;GERY;;75;55207
Gondrecourt-le-ChÂteau;GONDRECOURT-LE-CHÂTEAU;35521501000;1600;55215
Gouraincourt;GOURAINCOURT;25521601977;50;55216
Grimaucourt-en-Woèvre;GRIMAUCOURT EN WOEVRE;;120;55219
Haironville;HAIRONVILLE;35522401000;800;55224
Thillot;HANNONVILLE-SOUS-LES-COTES;25522802265;750;55507
Hannonville-sous-les-Cètes;HANNONVILLE-SOUS-LES-COTES;25522802265;750;55228
Harville;HARVILLE;;100;55232
Haumont-lès-Lachaussèe;HAUMONT-LES-LACHAUSSEE;25526702214;100;55238
Hennemont;HENNEMONT;25524202208;200;55242
Hèvilliers;HEVILLIERS;;170;55246
Houdelaincourt;HOUDELAINCOURT;;400;55248
Irè-le-Sec;IRE LE SEC;;250;55252
Koeur-la-Grande;KOEUR-LA-GRANDE;25526301976;550;55263
Koeur-la-Petite;KOEUR-LA-GRANDE;25526301976;550;55264
Lachaussèe;LACHAUSSEE;25526702213;170;55267
Lacroix-sur-Meuse;LACROIX-SUR-MEUSE;;600;55268
Landrecourt-Lempire;LANDRECOURT;25527602266;100;55276
Laneuville-sur-Meuse;LANEUVILLE SUR MEUSE;;350;55279
Lavincourt;LAVINCOURT;;100;55284
Lèrouville;LEROUVILLE;25528800764;1500;55288
Ville-sur-Saulx;LISLE-EN-RIGAULT;35529601000;1000;55568
Lisle-en-Rigault;LISLE-EN-RIGAULT;35529601000;1000;55296
Longeaux;LONGEAUX;35530001000;250;55300
Nonsard-Lamarche;MADINE EST;25524500102;800;55386
Heudicourt-sous-les-Cètes;MADINE OUEST;25524500103;2200;55245
Mandres-en-Barrois;MANDRES-EN-BARROIS;;150;55315
Marville;MARVILLE;25532400902;1000;55324
Menaucourt;MENAUCOURT;35533201000;270;55332
Mènil-sur-Saulx;MENIL/SAULX;35533501000;850;55335
Fouchères-aux-Bois;MENIL/SAULX;35533501000;850;55195
Dammarie-sur-Saulx;MENIL/SAULX;35533501000;850;55144
Le Bouchon-sur-Saulx;MENIL/SAULX;35533501000;850;55061
Vassincourt;MOGNEVILLE;35534001000;2700;55531
Trèmont-sur-Saulx;MOGNEVILLE;35534001000;2700;55514
Robert-Espagne;MOGNEVILLE;35534001000;2700;55435
Mognèville;MOGNEVILLE;35534001000;2700;55340
Couvonges;MOGNEVILLE;35534001000;2700;55134
Beurey-sur-Saulx;MOGNEVILLE;35534001000;2700;55049
Montiers-sur-Saulx;MONTIERS-SUR-SAULX;;400;55348
Villècloye;MONTMEDY;25535102144;3000;55554
Thonne-les-Près;MONTMEDY;25535102144;3000;55510
Montmèdy;MONTMEDY;25535102144;3000;55351
Montplonne;MONTPLONNE;;175;55352
Naix-aux-Forges;NAIX AUX FORGES;35537001000;250;55370
Nant-le-Grand;NANT-LE-GRAND;;80;55373
Nixèville-Blercourt;NIXEVILLE;25538501097;200;55385
Pagny-la-Blanche-Cète;PAGNY LA BLANCHE COTE;25539702155;250;55397
Pagny-sur-Meuse;PAGNY SUR MEUSE;25539802173;1000;55398
Remennecourt;REMENNECOURT;;60;55424
Revigny-sur-Ornain;REVIGNY-SUR-ORNAIN;35542701000;10500;55427
Neuville-sur-Ornain;REVIGNY-SUR-ORNAIN;35542701000;10500;55382
Laimont;REVIGNY-SUR-ORNAIN;35542701000;10500;55272
Rouvres-en-Woèvre;ROUVRES EN WOEVRE;25544301659;400;55443
