0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
ABAUCOURT-HAUTECOURT;83;55002;BOIS LE PRETRE N°2;01365X0035;85;EIX;55171;89;05/03/2014;0;;ABAUCOURT-HAUTECOURT + FROMEZEY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;177
ABAUCOURT-HAUTECOURT;84;55002;ABAUCOURT-HAUTECOURT;;0;;55000;87;;99;55000534;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;75;7.6;0;7.53;19.6;18.9;19.25;21.9;21.1;21.5;0.1;0;0.03;4.8;3.1;3.95;0;0;;;
AMANTY;83;55005;LE PETIT CHENOIS ;02663X0042;86;AMANTY;55005;89;15/10/2013;0;;AMANTY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;45
AMANTY;83;55005;GRANDE FONTAINE (AMANTY);02663X0017;85;AMANTY;55005;87;;0;;AMANTY Grande Fontaine;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;0
AMANTY;83;55005;PUITS HAUT DU VILLAGE AMANTY;02663X0024;86;AMANTY;55005;87;;0;;AMANTY Puits Haut du Village;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;0
AMANTY;83;55005;PUITS A GODETS;02663X0043;86;AMANTY;55005;87;;0;;AMANTY Puitsà Godet;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;0
AMANTY;84;55005;AMANTY;;0;;55000;87;;45;55003544;;;;;;;;;;;;;;;;;;;;99;100;;4;0;0;Les nouvelles installations de production et de distribution d'eau potable ont été mises en service dans le courant de l'année 2015.;100;7.6;0;7.6;25.4;25.4;25.33;28.8;28.8;28.721;0.7;0.7;0.7;6.2;6.2;6.183;0;0;;;
AMBLY SUR MEUSE;83;55007;PUITS AEP AMBLY;01625X0054;86;AMBLY-SUR-MEUSE;55007;88;;0;;AMBLY SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
AMBLY SUR MEUSE;84;55007;AMBLY SUR MEUSE;;0;;55000;87;;248;55000008;;;;;;;;;;;;;;;;;;;;99;100;;8;0;0;;100;7.9;0;7.67;23;18.7;20.85;28.5;25;26.75;0.3;0;0.17;49.4;7.7;26.925;0;0;;;
ANCEMONT;83;55009;LA COTE DU FRENE;01621X0093;85;;55000;89;05/03/2014;0;;ANCEMONT;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;616
