CODGEO0;CAPA_EH1;CAPA_DBO52;DEB_REF3;EXPLOI4;DSP5;CONSTR6;NOM_STEU7;SANDRE_STEU8;COORD_XL939;COORD_YL9310;BOUES11;MIL_REJ12;TYPE13;SOUSTYPE14
55001;350;0;0;40;;2014;ABAINVILLE;;0;0;0;;52;56
55005;58;0;0;40;;2014;AMANTY;;0;0;0;;54;0
55009;4000;240;960;41;SAUR;2006;ANCEMONT;25500901707;875774;6889081;64;Meuse;51;0
55010;3000;300;1330;40;;2011;ANCERVILLE;35501001000;847447;6837037;65;Marne;51;0
55013;750;38;273;40;;2014;ARRANCY SUR CRUSNES;;893284;6927006;0;affluent du ruisseau des Eurantes;52;56
55015;500;30;90;40;;1978;AULNOIS EN PERTHOIS;35501501000;857254;6839188;0;fossé;55;58
55016;300;23;300;40;;2010;AULNOIS EN VERTUZEY;25518402081;895820;6852929;0;Ruisseau des ROISES;54;0
55029;35000;2100;8640;40;;1998;BAR-LE-DUC;35518603000;857361;6856530;66;L'ornain;51;0
55031;600;36;96;40;;1978;BAUDONVILLERS;35503101000;848660;6844601;0;l'Ornel;51;0
55046;150;11;0;40;;2011;BENEY-EN-WOEVRE;25504602267;906373;6877494;0;;51;61
55047;200;0;0;40;;2014;BETHELAINVILLE;;0;0;0;;52;56
55053;450;0;0;40;;2015;BILLY-SOUS-MANGIENNES;;0;0;0;;52;57
55058;550;33;150;40;;1998;BONCOURT;25505801221;888834;6858428;0;la Meuse;55;62
55060;300;18;45;40;;1985;BONZEE EN WOEVRE;25519800101;891121;6891171;0;le Longeau;54;0
55062;150;7;66;40;;2011;BOUCONVILLE-SUR-MADT;25506202274;900012;6863792;0;;52;57
55063;620;37;300;40;;2010;BOULIGNY;25506301978;899601;6912636;0;L'Othain;52;57
55077;250;17;142;41;LYONNAISE DES EAUX FRANCE;2012;BREUX;;0;0;0;Ruisseau du RANDHAN;52;56
55079;600;36;90;40;;1988;BRILLON;35507901000;853116;6847697;0;infiltration;54;0
55094;1000;0;0;40;;2012;BUZY;;0;0;0;;52;56
55109;450;30;144;41;LYONNAISE DES EAUX FRANCE;2012;CHAUVENCY-LE-CHÂTEAU;25510902383;866680;6938759;0;ruisseau du Bouillon;52;56
55111;50;0;0;40;;2013;CHAUVONCOURT (Hammeau Mennonville);;0;0;0;;51;61
55117;1500;90;225;40;;1978;CLERMONT;35511701000;851471;6892239;0;Ruisseau de la Tranchée du Jarcq;55;58
55122;12500;750;3400;40;;1994;COMMERCY;25512200097;889895;6854879;67;Ruisseau des Roises;51;0
55125;1000;60;180;40;;1990;CONTRISSON;35512501000;843519;6856928;0;la Saulx;51;0
55132;3000;180;400;40;;1997;COUSANCES;35513201000;852523;6836718;64;ruisseau de cousance;51;0
55133;100;0;0;40;;2013;COUVERTPUIS;;0;0;0;;52;56
55142;200;11;123;40;;2011;DAINVILLE-BERTHELEVILLE;35514201000;885751;6819106;0;ruisseau de la MALDITE;52;57
55145;700;42;380;40;;2011;DAMVILLERS;25514502199;874980;6918603;0;la Thinte;51;0
55150;700;26;294;40;;2012;DEMANGE-AUX-EAUX;30000155150;880788;6834236;0;l'Ornain;52;0
55158;2800;168;1239;40;;2010;DOMMARY-BARONCOURT;25515801974;896741;6913575;0;L'Othain;51;0
55178;400;10;0;40;;2008;ERIZE-SAINT-DIZIER;35517801000;867567;6859944;0;l'Ezrule;52;57
55181;5000;300;1150;41;VEOLIA EAU - CIE GEN DES EAUX;1989;ETAIN;25518100099;891904;6904154;68;L'Orne;55;0
55184;1500;90;678;40;;2014;EUVILLE;25518400101;892705;6853747;0;Ruisseau de FAUX;52;56
55198;1100;26;0;40;;2012;FRESNES-EN-WOEVRE;25519802174;891466;6891319;0;ruisseau d'Haudiomont;52;56
55207;75;0;0;40;;2010;GERY;;0;0;0;;52;56
55215;1600;85;744;40;;2011;GONDRECOURT-LE-CHÂTEAU;35521501000;884128;6826883;0;;52;57
55216;50;3;22;40;;2009;GOURAINCOURT;25521601977;893796;6913924;0;;54;0
55219;120;0;0;40;;2014;GRIMAUCOURT EN WOEVRE;;0;0;0;;52;56
55224;800;48;96;40;;1990;HAIRONVILLE;35522401000;852960;6845040;68;la Saulx;51;0
55228;750;52;560;40;;2012;HANNONVILLE-SOUS-LES-COTES;25522802265;895018;6886063;0;Ruisseau du Moutru;52;56
55232;100;0;0;40;;1985;HARVILLE;;0;0;0;;55;60
55238;100;6;70;40;;2011;HAUMONT-LES-LACHAUSSEE;25526702214;905012;6882467;0;fossé dit du Pré le Maire;52;57
55242;200;9;0;40;;2011;HENNEMONT;25524202208;894596;6895753;0;Le renneselle;54;0
55245;2200;114;330;40;;1982;MADINE OUEST;25524500103;900496;6875415;0;ruisseau des Epinottes;54;0
55246;170;0;0;40;;2015;HEVILLIERS;;0;0;0;;52;57
55248;400;0;0;40;;2015;HOUDELAINCOURT;;0;0;0;;52;57
55252;250;0;0;41;LYONNAISE DES EAUX FRANCE;2012;IRE LE SEC;;0;0;0;;52;56
55263;550;30;70;40;;2009;KOEUR-LA-GRANDE;25526301976;882065;6865265;0;la MEUSE;52;57
55267;170;10;145;40;;2011;LACHAUSSEE;25526702213;906543;6886290;0;l'YRON;52;57
55268;600;0;0;40;;2015;LACROIX-SUR-MEUSE;;0;0;0;;52;56
55276;100;11;28;40;;2012;LANDRECOURT;25527602266;871549;6891814;0;Ruiseau du FRAN BAN;52;56
55279;350;0;0;40;;2013;LANEUVILLE SUR MEUSE;;0;0;0;;52;56
55284;100;0;0;40;;2013;LAVINCOURT;;0;0;0;;52;56
55288;1500;90;225;40;;1994;LEROUVILLE;25528800764;887176;6857841;69;Ruisseau de Chonville;51;0
