CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55001;316;317;;319;;594;616;VRAI;;;;;;;;;;
55002;110;115;;120;;585;573;VRAI;;;;;;;;;;
55004;98;98;;93;;627;661;VRAI;;;;;;;;;;
55005;48;48;x;47;;2835;2832;FAUX;x;;;;;;;;;
55007;252;252;;256;;496;501;VRAI;;;;;;;;;;
55008;193;194;;191;;489;540;VRAI;;;;;;;;;;
55009;626;621;;616;;404;406;VRAI;;;;;;;;;;
55010;2843;2819;x;2812;OUI;787;793;VRAI;x;;;;;;;;;
55011;251;252;;253;;526;548;VRAI;;;;;;;;;;
55012;451;446;;439;;453;457;VRAI;;;;;;;;;;
55013;498;493;;500;;443;439;VRAI;;;;;;;;;;
55014;436;426;;420;;547;559;VRAI;;;;;;;;;;
55015;526;533;;545;;419;418;VRAI;;;;;;;;;;
55017;134;127;;123;;534;552;VRAI;;;;;;;;;;
55018;55;52;;52;;562;579;VRAI;;;;;;;;;;
55021;73;73;;75;;452;448;VRAI;;;;;;;;;;
55022;153;153;;153;;422;425;VRAI;;;;;;;;;;
55023;137;137;;134;;419;452;VRAI;;;;;;;;;;
55024;165;169;;171;;554;560;VRAI;;;;;;;;;;
55025;285;299;;311;;422;415;VRAI;;;;;;;;;;
55026;158;156;;154;;376;393;VRAI;;;;;;;;;;
55027;357;174;;173;;356;356;VRAI;;;;;;;;;;
55028;139;141;;143;;572;592;VRAI;;;;;;;;;;
55029;16955;16769;x;16925;OUI;816;766;VRAI;x;;;;;;;;;
55030;81;79;x;74;;2273;2199;FAUX;x;;;;;;;;;
55031;430;422;;412;;514;526;VRAI;;;;;;;;;;
55032;63;57;;56;;450;441;VRAI;;;;;;;;;;
55033;16;16;;15;;875;1019;FAUX;T;;;;;;;;;
55034;127;133;;135;;366;369;VRAI;;;;;;;;;;
55035;171;166;;161;;504;546;VRAI;;;;;;;;;;
55036;91;93;;96;;716;736;VRAI;;;;;;;;;;
55037;163;163;;164;;609;600;VRAI;;;;;;;;;;
55038;67;67;x;65;;1040;1115;FAUX;x;;;;;;;;;
55039;0;0;;0;;0;0;VRAI;;;;;;;;;;
55040;302;290;;284;;956;974;VRAI;;;;;;;;;;
55041;698;685;;680;;659;694;VRAI;;;;;;;;;;
55042;453;468;;473;;518;771;VRAI;;;;;;;;;;
55043;3301;3288;x;3263;OUI;650;1011;FAUX;x;;;;;;;;;
55044;51;49;;50;;561;529;VRAI;;;;;;;;;;
55045;519;549;;558;;519;538;VRAI;;;;;;;;;;
55046;158;158;;157;;436;451;VRAI;;;;;;;;;;
55047;203;195;;190;;429;656;VRAI;;;;;;;;;;
55048;35;36;;36;;822;1204;FAUX;T;;;;;;;;;
55049;448;447;;443;;656;682;VRAI;;;;;;;;;;
55050;0;0;;0;;0;0;VRAI;;;;;;;;;;
55051;128;122;x;118;;1506;1494;FAUX;x;;;;;;;;;
55053;408;403;;399;;406;429;VRAI;;;;;;;;;;
55054;69;70;;70;;541;600;VRAI;;;;;;;;;;
55055;21;20;;20;;935;931;VRAI;;;;;;;;;;
55057;77;78;;77;;519;544;VRAI;;;;;;;;;;
55058;319;328;;338;;429;454;VRAI;;;;;;;;;;
55059;229;221;x;219;;1884;1908;FAUX;x;;;;;;;;;
55060;396;393;;387;;400;425;VRAI;;;;;;;;;;
55061;257;260;;263;;95;86;VRAI;;;;;;;;;;
55062;111;115;;113;;461;465;VRAI;;;;;;;;;;
55063;2792;2759;;2711;;610;625;VRAI;;;;;;;;;;
55064;133;138;;142;;429;424;VRAI;;;;;;;;;;
55065;142;138;;136;;641;666;VRAI;;;;;;;;;;
55066;149;154;;162;;779;742;VRAI;;;;;;;;;;
55067;119;113;;108;;393;403;VRAI;;;;;;;;;;
55068;109;110;;113;;468;458;VRAI;;;;;;;;;;
55069;243;237;;235;;601;625;VRAI;;;;;;;;;;
